id,name_en,name_he,name_ru,source,category,brand,calories,protein,carbs,fat,fiber,sugars,sodium,has_image
fd_il_1a2e4e4a3102bd63,Sweet potato,בטטה,Батат,FoodsDictionary_IL,vegetable,,86,1.57,20.12,0.05,3,4.18,55,yes
fd_il_4c98392e19921a12,Asparagus,אספרגוס,Спаржа,FoodsDictionary_IL,vegetable,,20,2.2,3.88,0.12,2.1,1.88,2,yes
fd_il_6ff536b6d4bc16f9,Green beans,שעועית ירוקה,Зелёная фасоль,FoodsDictionary_IL,legumes,,31,1.83,6.97,0.22,2.7,3.26,6,yes
fd_il_e418a02d47fb4df4,Fennel,שומר,Фенхель,FoodsDictionary_IL,vegetable,,31,1.24,7.29,0.2,3.1,,52,yes
fd_il_6c254f171c2c10f3,Cilantro (coriander),כוסברה,Кинза (кориандр),FoodsDictionary_IL,greens,,23,2.13,3.67,0.52,2.8,0.87,46,yes
fd_il_5cec1152a3becf11,Sea bream,דניס,Дорадо,FoodsDictionary_IL,fish,,105,18.9,,2.73,,,42,yes
fd_il_1d1fcb4f8c582da9,Egg white,חלבון ביצה,Яичный белок,FoodsDictionary_IL,eggs,,52,10.9,0.73,0.17,,0.71,,yes
fd_il_31367bfa11e59a88,Bulgur (cooked),בורגול מבושל,Булгур (варёный),FoodsDictionary_IL,grains,,83,3.08,18.58,0.24,4.5,0.1,,yes
fd_il_5247d2586fcab650,Feta cheese,גבינת פטה,Сыр Фета,FoodsDictionary_IL,israeli,,264,14.21,4.09,21.28,,4.09,1116,yes
fd_il_d24cc2966c834094,Hazelnuts,אגוזי לוז,Лесные орехи,FoodsDictionary_IL,nuts,,628,14.95,16.7,60.75,9.7,4.34,,yes
fd_il_82e56e22f5137535,Peanut butter,חמאת בוטנים,Арахисовая паста,FoodsDictionary_IL,nuts,,529,18.3,46.88,29.8,5,38.3,,yes
fd_il_f03e4a9e5d06cf10,Coconut oil,שמן קוקוס,Кокосовое масло,FoodsDictionary_IL,oils,,862,,,100,,,,yes
fd_il_0014d6cb7f20287b,Rye bread,לחם שיפון,Ржаной хлеб,FoodsDictionary_IL,bakery,,258,8.5,48.3,3.3,5.8,3.85,,yes
fd_il_e252ac3a251f57bb,Pancake,פנקייק,Панкейк,FoodsDictionary_IL,bakery,,194,5.2,36.7,2.5,1.3,,628,yes
fd_il_a69cac8d82c49682,Dried basil,בזיליקום מיובש,Сушёный базилик,FoodsDictionary_IL,sauces,,251,14.37,60.96,3.98,40.5,1.71,34,yes
fd_il_edc9225c6bf5c066,Dried rosemary,רוזמרין מיובש,Сушёный розмарин,FoodsDictionary_IL,sauces,,331,4.88,64.06,15.22,42.6,,50,yes
fd_il_0c542fd1780455a5,Garlic powder,אבקת שום,Чесночный порошок,FoodsDictionary_IL,sauces,,332,16.8,72.71,0.76,9.9,24.3,,yes
fd_il_621ba595a25c71f8,Balsamic vinegar,חומץ בלסמי,Бальзамический уксус,FoodsDictionary_IL,sauces,,88,0.49,17.03,,,14.95,,yes
fd_il_be070491015b0151,Lemon juice,מיץ לימון,Лимонный сок,FoodsDictionary_IL,drinks,,22,0.35,6.9,0.24,0.3,2.52,1,yes
fd_il_107a0cc94b71060a,Sumac,סומאק,Сумак,FoodsDictionary_IL,sauces,,281.4,13.3,48.1,14.4,34.8,7,,yes
fd_il_9081fce4f16f4430,Lychee,ליצ'י,Личи,FoodsDictionary_IL,fruit,,66,0.83,16.53,0.44,1.3,15.23,,yes
fd_il_ce294dca98537423,Guava,גויאבה,Гуава,FoodsDictionary_IL,fruit,,68,2.55,14.32,0.95,5.4,8.92,2,yes
fd_il_1cbb642972b00b6f,Pomelo,פומלה,Помело,FoodsDictionary_IL,fruit,,38,0.76,9.62,0.04,1,,,yes
fd_il_0382f1990fd154b5,Loquat,שסק,Локва (мушмула),FoodsDictionary_IL,fruit,,47,0.43,12.14,0.2,1.7,,1,yes
fd_il_1ccde28120bc3522,Okra,במיה,Бамия,FoodsDictionary_IL,vegetable,,31,2,7.03,0.1,3.2,1.2,8,yes
fd_il_0b885c390f62071a,Blue cheese,גבינה כחולה,Голубой сыр,FoodsDictionary_IL,dairy,,353,21.4,2.34,28.74,,0.5,1395,yes
fd_il_e45ccb16f9c910e9,Roasted pumpkin seeds,גרעיני דלעת קלויים,Жареные семена тыквы,FoodsDictionary_IL,nuts,,446,18.55,53.75,19.4,,,18,yes
fd_il_343dad23cea6bfe2,Roasted sunflower seeds,גרעיני חמנייה קלויים,Жареные семена подсолнечника,FoodsDictionary_IL,nuts,,582,19.3,24.1,49.8,11.1,2.73,3,yes
fd_il_b3b04daaac7f5311,Saffron,זעפרן,Шафран,FoodsDictionary_IL,sauces,,310,11.43,65.37,5.85,3.9,,148,yes
fd_fd_7183917353260121,Avocado,אבוקדו,Авокадо,FoodsDictionary_IL,fruit,,160,2,8.53,14.66,6.7,0.66,7,yes
fd_fd_3143633056669486,Banana,בננה,Банан,FoodsDictionary_IL,fruit,,89,1.09,22.84,0.33,2.6,12.23,1,yes
fd_fd_8412031768377840,Watermelon,אבטיח,Арбуз,FoodsDictionary_IL,fruit,,30,0.61,7.55,0.15,0.4,6.2,1,yes
fd_fd_3498101048852458,Orange juice,מיץ תפוזים,Апельсиновый сок,FoodsDictionary_IL,drinks,,45,0.7,10.4,0.2,0.2,8.4,1,yes
fd_fd_6048161772373116,Apple with skin,תפוח עץ עם קליפה,Яблоко с кожурой,FoodsDictionary_IL,fruit,,52,0.26,13.81,0.171,2.4,10.38,1,yes
fd_fd_9221681350941980,Pear,אגס,Груша,FoodsDictionary_IL,fruit,,58,0.382,15.469,0.12,3.1,9.8,1,yes
fd_fd_8962430706717311,Cucumber with peel,מלפפון עם קליפה,Огурец с кожурой,FoodsDictionary_IL,vegetable,,15,0.65,3.63,0.11,0.5,1.67,2,yes
fd_fd_9509020161584229,Onion,בצל,Лук,FoodsDictionary_IL,vegetable,,40,1.1,9.34,0.1,1.7,4.24,,yes
fd_fd_8931865828742702,Tomato,עגבניה,Помидор,FoodsDictionary_IL,vegetable,,18,0.887,3.923,0.2,1.2,2.63,5,yes
fd_fd_2474134192559368,Carrot,גזר,Морковь,FoodsDictionary_IL,vegetable,,41,0.93,9.58,0.24,2.8,4.74,69,yes
fd_fd_3343884812356931,Parsley,פטרוזיליה,Петрушка,FoodsDictionary_IL,greens,,36,2.97,6.33,0.79,3.3,0.85,56,yes
fd_fd_4864634913674999,Potato cooked without skin,תפוח אדמה מבושל ללא קליפה,Картофель варёный без кожуры,FoodsDictionary_IL,vegetable,,86,1.71,20.01,0.1,1.8,0.85,,yes
fd_fd_2974592194505906,Whole boiled egg,ביצה שלמה מבושלת-מורתחת,Варёное яйцо целиком,FoodsDictionary_IL,eggs,,155,12.58,1.12,10.61,,1.12,124,yes
fd_fd_6396066495240317,Mozzarella cheese,גבינת מוצרלה,Сыр Моцарелла,FoodsDictionary_IL,dairy,,300,22.17,2.19,22.35,,1.03,627,yes
fd_fd_6128771990872140,Honey,דבש,Мёд,FoodsDictionary_IL,sweets,,304,0.3,82.4,,0.2,82.12,,yes
fd_fd_8075461465582067,"Chicken breast (cooked, fried)",חזה עוף מבושל-מטוגן,"Куриная грудка (варёная, жареная)",FoodsDictionary_IL,meat,,187,33.44,0.51,4.71,,,79,yes
fd_fd_6797002455160071,"Atlantic salmon (cooked, dried)",סלמון אטלנטי מבושל-מיובש בחום,"Атлантический лосось (варёный, сушёный)",FoodsDictionary_IL,fish,,206,22.1,,12.35,,,,yes
fd_fd_8680536140500564,"Buckwheat (cooked, roasted)",כוסמת מבושלת-קלויה,"Гречка (варёная, жареная)",FoodsDictionary_IL,grains,,92,3.38,19.94,0.62,2.7,0.9,,yes
fd_fd_8276822451925977,Quinoa (cooked),קינואה מבושלת,Киноа (варёная),FoodsDictionary_IL,grains,,120,4.4,21.3,1.92,2.8,,,yes
fd_fd_89020424010490,Oats,שיבולת שועל,Овёс,FoodsDictionary_IL,grains,,389,16.89,66.27,6.9,10.6,,,yes
fd_fd_9103863110099928,Almonds,שקדים,Миндаль,FoodsDictionary_IL,nuts,,575,21.22,21.67,49.42,12.2,3.89,,yes
fd_fd_9946650612101943,Olive oil,שמן זית,Оливковое масло,FoodsDictionary_IL,oils,,884,,,100,,,,yes
fd_fd_928454433324200,Whole wheat pita,פיתה מחיטה מלאה,Питта из цельной пшеницы,FoodsDictionary_IL,bakery,,266,9.8,55,2.6,7.4,0.82,,yes
fd_fd_2664566584858185,Almond oil,שמן שקדים,Миндальное масло,FoodsDictionary_IL,oils,,884,,,100,,,,yes
fd_fd_3207894109452055,Blueberries,אוכמניות,Черника,FoodsDictionary_IL,fruit,,57,0.74,14.49,0.33,2.4,9.96,1,yes
fd_fd_729323538949544,Sweet cherries,דובדבנים מתוקים,Сладкая черешня,FoodsDictionary_IL,fruit,,63,1.06,16.01,0.2,2.1,12.82,,yes
fd_fd_5937761870848125,Spinach (cooked),תרד מבושל,Шпинат (варёный),FoodsDictionary_IL,greens,,23,2.97,3.75,0.26,2.4,0.43,70,yes
fd_fd_7937389368189949,Cabbage,כרוב,Капуста,FoodsDictionary_IL,vegetable,,25,1.28,5.8,0.1,2.5,3.2,18,yes
fd_fd_6150186964114852,Butternut squash baked without salt,דלורית אפויה ללא מלח,Мускатная тыква запечённая без соли,FoodsDictionary_IL,vegetable,,40,0.9,10.49,0.09,,1.97,4,yes
fd_fd_6454308390287123,Yellow beans cooked without salt,שעועית צהובה מבושלת ללא מלח,Жёлтая фасоль варёная без соли,FoodsDictionary_IL,legumes,,35,1.89,7.88,0.28,3.3,1.55,3,yes
fd_fd_112588002094972,Broccoli (cooked),ברוקולי מבושל,Брокколи (варёное),FoodsDictionary_IL,vegetable,,35,2.38,7.18,0.41,3.3,1.39,41,yes
fd_fd_7571558888539883,Brussels sprouts (cooked),כרוב ניצנים מבושל,Брюссельская капуста (варёная),FoodsDictionary_IL,vegetable,,36,2.55,7.1,0.5,2.6,1.74,21,yes
fd_fd_6868400442976866,Leek (cooked),כרישה מבושלת,Лук-порей (варёный),FoodsDictionary_IL,vegetable,,31,0.81,7.62,0.2,1,2.11,10,yes
fd_fd_9468987399560107,Mushrooms,פטריות,Грибы,FoodsDictionary_IL,vegetable,,22,3.09,3.28,0.34,1,1.65,,yes
fd_fd_9586658761117888,Yellow bell pepper,פלפל צהוב,Жёлтый болгарский перец,FoodsDictionary_IL,vegetable,,27,1,6.32,0.21,0.9,,2,yes
fd_fd_148911026882064,Cherry tomatoes,עגבניות שרי,Помидоры черри,FoodsDictionary_IL,fruit,,18,0.88,3.92,0.2,1.2,2.63,5,yes
fd_fd_1555636433221307,Eggplant (cooked),חציל מבושל,Баклажан (варёный),FoodsDictionary_IL,vegetable,,35,0.83,8.73,0.23,2.5,3.2,1,yes
fd_fd_4236313529260873,Turnip (cooked),לפת מבושלת,Репа (варёная),FoodsDictionary_IL,vegetable,,22,0.71,5.06,0.08,2,2.99,,yes
fd_fd_9556137315396941,Sugar,סוכר,Сахар,FoodsDictionary_IL,sweets,,387,,99.98,,,99.91,,yes
fd_fd_5624186629626090,Toffee candy,סוכריות טופי,Ириски,FoodsDictionary_IL,sweets,,397,0.03,91.56,3.33,,68.48,52,yes
fd_fd_9135377284132626,Dried watermelon seeds,גרעיני אבטיח מיובשים,Сушёные семена арбуза,FoodsDictionary_IL,nuts,,557,28.33,15.31,47.37,,,,yes
fd_fd_2459006819431862,Persimmon,אפרסמון,Хурма,FoodsDictionary_IL,fruit,,70,0.58,18.59,0.19,3.6,12.53,1,yes
fd_fd_1508016541479082,Celery root (celeriac),סלרי - כרפס,Корень сельдерея,FoodsDictionary_IL,vegetable,,16,0.69,2.97,0.17,1.6,1.83,80,yes
